Date,Close_Price,Max_Temp_C,Rainfall_mm,Rolling_Rain_30d
2000-07-27,86.0999984741211,20.9,0.0,2.3
2000-07-28,87.4000015258789,20.3,0.0,2.3
2000-07-31,86.44999694824219,22.0,0.0,2.3
2000-08-01,86.30000305175781,22.2,0.0,2.3
2000-08-02,86.44999694824219,21.6,0.0,2.3
2000-08-03,85.8499984741211,23.3,2.2,4.5
2000-08-04,85.5999984741211,21.2,2.0,4.5
2000-08-07,85.4000015258789,23.5,0.0,4.5
2000-08-08,83.69999694824219,25.2,0.0,4.5
2000-08-09,79.5,25.8,0.0,4.5
2000-08-10,79.5999984741211,26.8,0.0,4.5
2000-08-11,80.6500015258789,22.3,0.1,4.6
2000-08-14,78.80000305175781,22.5,0.0,4.6
2000-08-15,78.5999984741211,23.8,0.0,4.6
2000-08-16,78.30000305175781,25.4,3.4,8.0
2000-08-17,78.55000305175781,20.9,4.8,12.8
2000-08-18,78.4000015258789,23.2,2.2,15.0
2000-08-21,77.5,24.9,0.0,15.0
2000-08-22,77.0999984741211,24.4,0.0,15.0
2000-08-23,74.5999984741211,25.4,0.0,15.0
2000-08-24,77.80000305175781,26.2,0.0,14.7
2000-08-25,77.75,27.7,0.0,14.7
2000-08-28,75.19999694824219,25.2,3.8,18.5
2000-08-29,74.69999694824219,20.2,6.5,25.0
2000-08-30,73.9000015258789,24.1,0.0,25.0
2000-08-31,74.5,21.8,3.1,28.099999999999998
2000-09-01,75.0,24.4,4.1,32.2
2000-09-05,73.0999984741211,19.3,0.0,32.2
2000-09-06,75.25,15.8,21.7,53.9
2000-09-07,78.0,19.2,0.0,53.9
2000-09-08,77.4000015258789,21.2,0.1,54.0
2000-09-11,77.75,23.9,0.0,54.0
2000-09-12,78.6500015258789,24.0,0.0,54.0
2000-09-13,79.55000305175781,25.5,0.0,54.0
2000-09-14,77.19999694824219,25.5,0.3,54.3
2000-09-15,76.25,25.1,2.7,54.8
2000-09-18,77.4000015258789,23.5,0.0,52.8
2000-09-19,77.19999694824219,24.8,0.0,52.8
